Product Id,"Product External Id","Product Is Active","Product Division","Product Code","Product Name","Product Description","Primary Product Group Id","Primary Product Group","Product Type","Supplier Id","Supplier Code","Supplier Units Per Outer",Supplier,"Product Cost Price","Product Markup(%)","Product Price","Product TAX","Product Price Based On","Product Tracking Level","Product Warning Text","Product Minimum Inventory","Product Minimum Reorder","Product Minimum Order Type","Product Has Direct Cost","Product Available on Web","Product TAX Code","Product RRP","Product Notes","Product Is Purchased","Product Is Sold","Product Purchases Account","Product Sales Account","Product Inventory Account","Product Barcode","Product Is Controlled Drug","Product Desexes Patient","Product Triggers Patient Death","Product Patient Death Reason","Product Medication Text","Product Default Sell Units","Product Requires Prescription","Product Generates Prescription","Product RVM Direction of Use","Product RVM Length of Treatment Course","Product RVM Dose To Be Given","Product RVM Route of Administration","Product RVM Frequency of Treatments","Product RVM Length/Number of Treatments","Product RVM Withholding Period for Milk","Product RVM Withholding Period for Meat","Product RVM Maximum Dispense Quantity","Product RVM Maximum Dispense Frequency (days)","Auto Generate Product Type","Product Default Label Qty","Product Label Is Fixed Number","Product Identifier (NDC)","Product Schedule/Class","Product Lowest Dispensable Unit","Product Lowest Dispensable Quantity","Product Concentration","Product Concentration Unit","Product Concentration Volume","Product Concentration Diluted","Product Concentration Diluted Unit","Product Concentration Diluted Volume","Product Default Dosage Calculation Method","Product Default Route of Administration","Product Default Infusion Rate Per","Product Is CRI","Product Sheet Group","Product Service Fee Id","Product Service Fee Code","Product Service Fee External Reference"
1068,MAH_91368c81-fdac-492f-8bf0-07b26656cccf,YES,1,MAH_HET,"Hetastarch 6% 500 mL fluid bag",,12,"Hospital Supplies",Medication,,,1,,35.48,100,70.96,0.0000,Markup,Product,,0,0.0000,MINIMUM,YES,NO,E,0,,YES,YES,0,,0,HET,NO,,NO,,,1.0000,YES,YES,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
1070,MAH_4f49c89f-ca50-457b-8645-16a9571eba35,YES,1,MAH_47135,"RC K9 Vegetarian Canned",,4,"Prescription Foods",Medication,,,1,,2.3,40,3.2201,0.2399,Markup,Product,,0,0.0000,MINIMUM,YES,NO,7.45,0,,YES,YES,0,,0,47135,NO,,NO,,,1.0000,YES,YES,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
1072,MAH_d3344419-18a5-4a9c-9115-c72d49e2b730,YES,1,MAH_604202,"Hill's Feline GI Biome 2.9 oz",,4,"Prescription Foods",Medication,,,1,,1.63,7.36,1.7497,0.1303,Markup,Product,,0,0.0000,MINIMUM,YES,NO,7.45,0,,YES,YES,0,,0,604202,NO,,NO,,,1.0000,YES,YES,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
1075,MAH_425823c8-bb49-42f0-b19f-bff988ab5c9e,YES,1,MAH_3384,"Hill's K9 C/D Chicken Stew 12.5oz.",,4,"Prescription Foods",Medication,,,1,,3.68,6.52,3.9181,0.2919,Markup,Product,,0,0.0000,MINIMUM,YES,NO,7.45,0,,YES,YES,0,,0,3384,NO,,NO,,,1.0000,YES,YES,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
1076,MAH_cca6b223-c82a-4e27-aea6-11099d7bb502,YES,1,MAH_DEXSP,"Dex-SP 4mg/ml Injection",,10,Injectables,Medication,,,1,,0.37,2000,7.77,0.0000,Markup,Product,,0,0.0000,MINIMUM,YES,NO,E,0,,YES,YES,0,,0,DEXSP,NO,,NO,,,1.0000,NO,NO,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,1833,SERVICEFEE_($12.0000)_(7.45),
1077,MAH_12ca3818-7024-4579-a1ea-6f9689f45c60,YES,1,MAH_I3099,"Platelet Count, Manual",,5,Lab,Diagnostic,,,1,,21.05,100,42.1,0.0000,Price,No,,0,0.0000,MINIMUM,NO,NO,E,0,,NO,YES,0,,0,,NO,,NO,,,1.0000,NO,NO,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
1084,MAH_90222634-7eb9-44f2-ba15-94d99e5b49a1,YES,1,MAH_KETO,"Ketochlor Shampoo 8 oz.",,6,Pharmacy,Medication,,,1,,16.39,75,28.6825,2.1368,Markup,Product,,0,0.0000,MINIMUM,YES,NO,7.45,0,,NO,YES,0,,0,KETO,NO,,NO,,,1.0000,YES,YES,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
1086,MAH_4d39429a-b8cd-415a-b7d8-9887bdc0bab9,YES,1,MAH_NC,"Nursing Care - Standard",,8,Service,Standard,,,1,,30,0,30,0.0000,Price,No,,0,0.0000,MINIMUM,NO,NO,E,0,,NO,YES,0,,0,NC,NO,,NO,,,1.0000,NO,NO,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
1087,MAH_475c0f49-e11a-4953-9bf1-b7f5a5fe10e0,YES,1,MAH_M040,"Antech Aerobic/Anaerobic Culture",,5,Lab,Diagnostic,,,1,,149.93,100,299.86,0.0000,Markup,No,,0,0.0000,MINIMUM,YES,NO,E,0,,NO,YES,0,,0,,NO,,NO,,,1.0000,NO,NO,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
1088,MAH_567e5bfe-03fa-4426-9e98-4d98dfa25d6d,YES,1,MAH_CLIN1,"Clindamycin 25mg Capsule",,6,Pharmacy,Medication,,,1,,0.4,187,1.148,0.0855,Markup,Product,,0,0.0000,MINIMUM,YES,NO,7.45,0,,YES,YES,0,,0,CLIN1,NO,,NO,,,1.0000,YES,YES,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,1827,SERVICEFEE_($7.0000)_(7.45),
1091,MAH_b2dc116e-3ac2-4a52-a554-77c179cfb1ab,YES,1,MAH_3390,"Hill's K9 chkn/veg/stew 5.5 oz.",,4,"Prescription Foods",Medication,,,1,,1.46,45.21,2.1219,0.1581,Markup,Product,,0,0.0000,MINIMUM,YES,NO,7.45,0,,YES,YES,0,,0,3390,NO,,NO,,,1.0000,YES,YES,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
1093,MAH_875ef915-2507-4d45-a822-0c219a6e2ce6,YES,1,MAH_SX8,"OHE Canine >90 lb",,7,Surgery,Procedure,,,1,,165,0,165,0.0000,Price,No,,0,0.0000,MINIMUM,NO,NO,E,0,,NO,YES,0,,0,SX8,NO,1,NO,,,1.0000,NO,NO,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
1099,MAH_e0e94713-6aa1-4539-9bc1-95252940b0b5,YES,1,MAH_CLIN2,"Clindamycin 75mg Capsule",Antibiotic,6,Pharmacy,Medication,,,1,,0.46,100,0.92,0.0685,Markup,Product,,0,0.0000,MINIMUM,YES,NO,7.45,0,,YES,YES,0,,0,CLIN2,NO,,NO,,,1.0000,YES,YES,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,1827,SERVICEFEE_($7.0000)_(7.45),
1100,MAH_40542987-eb0a-430b-9040-d8b8c789df15,YES,1,MAH_BRAV4,"Bravecto Tablet 44-88lbs","Oral parasiticide
Flea/tick prevention",6,Pharmacy,Medication,33,,1,"Henry Schein",47.39,75,82.9325,6.1785,Markup,Product,,0,0.0000,MINIMUM,YES,NO,7.45,0,,YES,YES,0,,0,BRAV4,NO,,NO,,"Give #INPUT# tablet(s) by mouth every 3 months for ectoparasite prevention.",1.0000,YES,YES,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
1104,MAH_af8f859e-4d45-4df7-8b1c-239b3b270290,YES,1,MAH_2576,"Hill's Feline Healthy Advantage 15 lb.",,4,"Prescription Foods",Medication,,,1,,34.44,40.01,48.2178,3.5922,Markup,Product,,0,0.0000,MINIMUM,YES,NO,7.45,0,,YES,YES,0,,0,2576,NO,,NO,,,1.0000,YES,YES,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
1106,MAH_df345fe2-ce7c-4ce0-bcd4-820aeecece00,YES,1,MAH_SILD20,"Sildenafil Tablet 20 mg",,6,Pharmacy,Medication,,,1,,0.08,150,0.2,0.0149,Markup,Product,,0,0.0000,MINIMUM,YES,NO,7.45,0,,YES,YES,0,,0,SILD20,NO,,NO,,,1.0000,YES,YES,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,1827,SERVICEFEE_($7.0000)_(7.45),
1108,MAH_ce647ad2-5c1b-416e-a9df-773a5122b202,YES,1,MAH_10440,"Hill's K9 Sensitive Stomach and Skin 15",,4,"Prescription Foods",Medication,,,1,,28.67,40.01,40.1396,2.9904,Markup,Product,,0,0.0000,MINIMUM,YES,NO,7.45,0,,YES,YES,0,,0,10440,NO,,NO,,,1.0000,YES,YES,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
1111,MAH_4936a37c-9302-4614-92db-88b3f062563f,YES,1,MAH_SMPCOL,"Sample Collection",,8,Service,Standard,,,1,,6.5,0,6.5,0.0000,Price,No,,0,0.0000,MINIMUM,NO,NO,E,0,,NO,YES,0,,0,SMPCOL,NO,,NO,,,1.0000,NO,NO,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,,,
1115,MAH_93f5037a-fc6a-4b55-8c7f-c0e904299e34,YES,1,MAH_940,Pharmacy,,6,Pharmacy,Medication,,,1,,40,0,40,2.9800,Price,Product,,0,0.0000,MINIMUM,NO,NO,7.45,0,,YES,YES,0,,0,940,NO,,NO,,,1.0000,YES,YES,,,,,,,,,0,0,,1,YES,,,,0,0,,,0,,,,,,NO,,1827,SERVICEFEE_($7.0000)_(7.45),
