Vetcove ID,Date,Hospital,Name,Order #,PO Number,Supplier,Manufacturer,Manufacturer Number,Primary Category,Secondary Category,GL Code,Vetcove Item ID,Cost per Dose,Units,Unit Price,Unit Measurement,List Price,Quantity,Total Price,Item Status,Supplier's SKU
434855058,2025-04-21,Animal Care Center + Pet House Suites,"Macro Bore Extension Set: Luer Slip, 30"", Each",6206169344,VC0K78RZ,Patterson,Zoetis,32068,Administration and Transfusion,IV Sets and Connectors,,115577,2.43,1.0,2.43,purchasing unit,,10,24.3,Completed,078827313
434855054,2025-04-21,Animal Care Center + Pet House Suites,Vanguard crLyme:  25 x 1 Dose,6206169344,VC0K78RZ,Patterson,Zoetis,10012878,Vaccines,Vaccines and Other Biologicals,Inventory - Medicine (1331),170181,15.43,25.0,385.75,dose,,1,385.75,Completed,078925876
435240815,2025-04-21,Animal Care Center + Pet House Suites,"Vetmedin® Chewable Tablets: 2.5mg, 50 Count",2104009659,4503687396,Boehringer Ingelheim,Boehringer Ingelheim,103184,Pharmaceuticals,Cardiovascular Drugs,,87063,1.0982,50.0,54.91,tablet,58.42,1,54.91,Completed,103184
435240814,2025-04-21,Animal Care Center + Pet House Suites,"Vetmedin® Chewable Tablets: 1.25mg, 50 Count",2104009659,4503687396,Boehringer Ingelheim,Boehringer Ingelheim,103183,Pharmaceuticals,Cardiovascular Drugs,,128835,0.706,50.0,35.3,tablet,37.55,1,35.3,Completed,103183
434824290,2025-04-21,Animal Care Center + Pet House Suites,"Enalapril Tablets: 5Mg, 100 Count",6626209-0,VC0K78UM,Penn Vet,Multiple Manufacturers,92402,Pharmaceuticals,Cardiovascular Drugs,,120446,0.0293,100.0,2.93,tablet,,1,2.93,Completed,PVS48505
468416534,2025-08-21,Animal Care Center + Pet House Suites,"Buprenorphine HCl Injection: 1ml (0.3mg/ml), 5 Count",63271280,VC0MZ93R,MWI,Multiple Manufacturers,12496-0757-01,Pharmaceuticals,Analgesics,Inventory - Medicine (1331),135153,16.432,5.0,82.16,vial,82.63,1,82.16,Completed,060969
468416533,2025-08-21,Animal Care Center + Pet House Suites,Vcheck FPL 2.0: 10 Count,63271280,VC0MZ93R,MWI,Bionote,VCF127DD,Diagnostics,Diagnostic Aids - Clinical,,388680,14.95,10.0,149.5,test,149.5,1,149.5,Completed,124397
468416530,2025-08-21,Animal Care Center + Pet House Suites,"Carprofen Chewable Tablets: 25mg, 180 Count",63271280,VC0MZ93R,MWI,Multiple Manufacturers,6451970845,Pharmaceuticals,Antiinflammatories,Inventory - Medicine (1331),224946,0.3319,180.0,59.75,tablet,59.75,1,59.75,Completed,510517
433092786,2025-04-14,Animal Care Center + Pet House Suites,"Carprofen Chewable Tablets: 75mg, 180 Count",6618717-0,VC0K3LGV,Penn Vet,Multiple Manufacturers,21306855,Pharmaceuticals,Antiinflammatories,Inventory - Medicine (1331),509260,0.2919,180.0,52.54,tablet,,1,52.54,Completed,ZYV3030
464635015,2025-08-07,Animal Care Center + Pet House Suites,IDEXX UA Strips,5109060729,VC0LRVCT,Idexx,IDEXX,98-08804-01,Diagnostics Laboratory,"Test Strips, Readers, pH Paper",,824973,120.0,1.0,120.0,purchasing unit,127.0,1,120.0,Completed,98-08804-01
