NDC,Proprietary Name,Non Proprietary Name,Ingredient List,Labeler Name,Product Type,Marketing Category,Application Number or Monograph ID,Link,Inactivation Date,Reactivation Date
62157-446-01,AX Pharmaceutical Corp,ATENOLOL,ATENOLOL,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/2037a82a-1bc9-4808-8dda-71096d32799a/2037a82a-1bc9-4808-8dda-71096d32799a.xml,,
62157-409-01,X,CARPROFEN,CARPROFEN,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/4860e4ee-c3c8-46c4-86bd-1ffeeeab4709/4860e4ee-c3c8-46c4-86bd-1ffeeeab4709.xml,,
72969-013-10,CISAPRIDE MONOHYDRATE,CISAPRIDE MONOHYDRATE,CISAPRIDE MONOHYDRATE,PROFESSIONAL GROUP OF PHARMACISTS NEW YORK LLC,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/cdc7d758-83c0-4356-8766-197f2e4e6ce9/cdc7d758-83c0-4356-8766-197f2e4e6ce9.xml,,
62157-458-01,AX Pharmaceutical Corp,AVANAFIL,AVANAFIL,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/83f252bd-8ef6-41f7-9c84-c1214a33117f/83f252bd-8ef6-41f7-9c84-c1214a33117f.xml,,
73309-172-02,Dantrolene Sodium,DANTROLENE SODIUM,DANTROLENE SODIUM,"BLUEBAY SHANDONG CO.,LTD",BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/dbfb82c3-26f7-4858-9610-1ebc8553f569/dbfb82c3-26f7-4858-9610-1ebc8553f569.xml,,
62157-744-01,CISAPRIDE MONOHYDRATE,CISAPRIDE MONOHYDRATE,CISAPRIDE MONOHYDRATE,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/41b1f69e-94b5-4d00-902a-073dddc02da7/41b1f69e-94b5-4d00-902a-073dddc02da7.xml,,
58597-8171-9,CEFTIOFUR FREE ACID,CEFTIOFUR FREE ACID,CEFTIOFUR,AMERICAN PHARMACEUTICAL INGREDIENTS LLC,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/6f684cce-1d5b-4af4-a798-65b123eb64c1/6f684cce-1d5b-4af4-a798-65b123eb64c1.xml,,
73361-001-01,Chloramphenicol Palmitate,CHLORAMPHENICOL PALMITATE,CHLORAMPHENICOL PALMITATE,Wang Pharmaceuticals & Chemicals,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/2f4b3706-8d50-4f24-8adf-a67baa3d6386/2f4b3706-8d50-4f24-8adf-a67baa3d6386.xml,,
73309-089-03,Toceranib Phosphate,TOCERANIB PHOSPHATE,TOCERANIB PHOSPHATE,"BLUEBAY SHANDONG CO.,LTD",BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/cd4ff295-2a9c-43d0-b15a-87ba7255450c/cd4ff295-2a9c-43d0-b15a-87ba7255450c.xml,,
62157-219-01,X,CHLOROQUINE PHOSPHATE,CHLOROQUINE PHOSPHATE,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/4acaf3fd-4182-4c74-8414-e87ee28bca1c/4acaf3fd-4182-4c74-8414-e87ee28bca1c.xml,,
73309-134-01,Nitrofurantoin,NITROFURANTOIN,NITROFURANTOIN,"BLUEBAY SHANDONG CO.,LTD",BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/0d29aace-0d26-44a4-b7d4-720bec1ac5d6/0d29aace-0d26-44a4-b7d4-720bec1ac5d6.xml,,
62157-480-01,AX Pharmaceutical Corp,LOMUSTINE,LOMUSTINE,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/2c4c6371-336c-45f6-864e-7e53c8726205/2c4c6371-336c-45f6-864e-7e53c8726205.xml,,
73309-040-01,Aminopentamide Sulfate,AMINOPENTAMIDE SULFATE,AMINOPENTAMIDE SULFATE,"Bluebay Shandong Co, LTD.",BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/70d6bf5b-0a7f-4571-8854-9253eb6aab1d/70d6bf5b-0a7f-4571-8854-9253eb6aab1d.xml,,
73309-131-01,Ivermectin,IVERMECTIN,IVERMECTIN,"BLUEBAY SHANDONG CO.,LTD",BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/692f5988-aed5-4493-9d89-95bfbe652977/692f5988-aed5-4493-9d89-95bfbe652977.xml,,
73309-200-02,Ticarcillin Sodium/Potassium Clavulanate,TICARCILLIN SODIUM/POTASSIUM CLAVULANATE,CLAVULANATE POTASSIUM; TICARCILLIN DISODIUM,"BLUEBAY SHANDONG CO.,LTD",BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/9f0cfb69-b224-4ba3-a072-780420f024f6/9f0cfb69-b224-4ba3-a072-780420f024f6.xml,,
73377-100-04,Rifampin (Rifampicin),RIFAMPIN (RIFAMPICIN),RIFAMPIN,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/2e09e59c-0f59-44e9-8c3d-9de0018946e8/2e09e59c-0f59-44e9-8c3d-9de0018946e8.xml,,
73309-049-03,Cidofovir Anhydrous,CIDOFOVIR ANHYDROUS,CIDOFOVIR ANHYDROUS,"BLUEBAY SHANDONG CO.,LTD",BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/2786d497-8777-4d33-a341-50fc4b9db93a/2786d497-8777-4d33-a341-50fc4b9db93a.xml,,
62157-816-01,Doxycycline Monohydrate,DOXYCYCLINE MONOHYDRATE,DOXYCYCLINE,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/f6dbe65d-d131-4eb5-8ab1-75587d6dd241/f6dbe65d-d131-4eb5-8ab1-75587d6dd241.xml,,
73309-187-01,Taurine (2-Aminoethane-1-sulfonic acid),TAURINE (2-AMINOETHANE-1-SULFONIC ACID),TAURINE,"BLUEBAY SHANDONG CO.,LTD",BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/15963a33-9d0e-4994-bf32-3dda590f7b09/15963a33-9d0e-4994-bf32-3dda590f7b09.xml,,
73019-0100-1,Asparaginase,ASPARAGINASE,ASPARAGINASE,SAJJALA BIO LABS PRIVATE LIMITED,BULK INGREDIENT,BULK INGREDIENT FOR ANIMAL DRUG COMPOUNDING,,https://www.accessdata.fda.gov/spl/data/d5485168-9baa-4f0d-9d5e-fc8252925441/d5485168-9baa-4f0d-9d5e-fc8252925441.xml,,
58597-8263-8,Fenbendazole,FENBENDAZOLE,FENBENDAZOLE,AMERICAN PHARMACEUTICAL INGREDIENTS LLC,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/6e06170e-de5e-40c4-9900-6b1711d2c574/6e06170e-de5e-40c4-9900-6b1711d2c574.xml,,
58597-8072-2,Pergolide Mesylate,PERGOLIDE MESYLATE,PERGOLIDE MESYLATE,AMERICAN PHARMACEUTICAL INGREDIENTS LLC,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/961fb478-7ed8-465b-8771-474eafa4e587/961fb478-7ed8-465b-8771-474eafa4e587.xml,,
62157-799-01,Zonisamide,ZONISAMIDE,ZONISAMIDE,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/3597d2f6-15c5-4b43-878f-d20549b5edb5/3597d2f6-15c5-4b43-878f-d20549b5edb5.xml,,
62157-452-01,AX Pharmaceutical Corp,LOSARTAN POTASSIUM,LOSARTAN POTASSIUM,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/2bd79b82-e6c0-4e8f-b0fb-e3816383586f/2bd79b82-e6c0-4e8f-b0fb-e3816383586f.xml,,
62157-545-01,AX Pharmaceutical Corp,ENROFLOXACIN,ENROFLOXACIN,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/224e8aff-490d-4077-af19-63be6ff91524/224e8aff-490d-4077-af19-63be6ff91524.xml,,
62157-148-01,X,IRON SUCROSE,IRON SUCROSE,AX Pharmaceutical Corp,BULK INGREDIENT,BULK INGREDIENT FOR ANIMAL DRUG COMPOUNDING,,https://www.accessdata.fda.gov/spl/data/463592d3-6273-4c2b-b176-76b86bdc0a52/463592d3-6273-4c2b-b176-76b86bdc0a52.xml,,
73377-133-01,Medroxyprogesterone Acetate,MEDROXYPROGESTERONE ACETATE,MEDROXYPROGESTERONE ACETATE,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/6c633dbf-73fd-4128-87dc-dcc2ce92e75c/6c633dbf-73fd-4128-87dc-dcc2ce92e75c.xml,,
73309-065-02,Aminocaproic Acid,AMINOCAPROIC ACID,AMINOCAPROIC ACID,"BLUEBAY SHANDONG CO.,LTD",BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/1aa298bb-7e0b-48a2-ab43-c6691b628501/1aa298bb-7e0b-48a2-ab43-c6691b628501.xml,,
73309-124-01,Trichlormethiazide,TRICHLORMETHIAZIDE,TRICHLORMETHIAZIDE,"BLUEBAY SHANDONG CO.,LTD",BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/aecb30a4-ea44-4fb7-b3fc-70e4181b5b53/aecb30a4-ea44-4fb7-b3fc-70e4181b5b53.xml,,
73309-044-01,Chloramphenicol Palmitate,CHLORAMPHENICOL PALMITATE,CHLORAMPHENICOL PALMITATE,"BLUEBAY SHANDONG CO.,LTD",BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/5bb27a74-a931-4415-9d14-43164c987ba0/5bb27a74-a931-4415-9d14-43164c987ba0.xml,,
63732-2047-9,Metronidazole Benzoate,METRONIDAZOLE BENZOATE,METRONIDAZOLE BENZOATE,H3 Medical Inc.,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/835cf84b-e272-462e-99a2-09f600b1bd38/835cf84b-e272-462e-99a2-09f600b1bd38.xml,,
58597-8214-2,Decoquinate,DECOQUINATE,DECOQUINATE,AMERICAN PHARMACEUTICAL INGREDIENTS LLC,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/ce95a5ec-4a92-4619-9c7e-bc4f095919ae/ce95a5ec-4a92-4619-9c7e-bc4f095919ae.xml,,
73377-057-01,Famotidine,FAMOTIDINE,FAMOTIDINE,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/5cdc8340-42b1-49ff-9eb3-6a44001c120a/5cdc8340-42b1-49ff-9eb3-6a44001c120a.xml,,
62157-423-01,X,ETAMSYLATE,ETHAMSYLATE,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/f010a8e3-dd89-49e2-aa72-1a16ccd35d28/f010a8e3-dd89-49e2-aa72-1a16ccd35d28.xml,,
62157-101-01,X,PREGABALIN,PREGABALIN,AX Pharmaceutical Corp,BULK INGREDIENT,BULK INGREDIENT FOR ANIMAL DRUG COMPOUNDING,,https://www.accessdata.fda.gov/spl/data/210ad5fe-33e4-4606-b5c0-6dae095f9a9d/210ad5fe-33e4-4606-b5c0-6dae095f9a9d.xml,,
73309-217-01,Actinomycin D (Dactinomycin),ACTINOMYCIN D (DACTINOMYCIN),DACTINOMYCIN,"BLUEBAY SHANDONG CO.,LTD",BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/0f1b1d3b-213c-4140-9fa8-897acf81ff8c/0f1b1d3b-213c-4140-9fa8-897acf81ff8c.xml,,
62157-498-01,AX Pharmaceutical Corp,MEPIVACAINE HCL,MEPIVACAINE HYDROCHLORIDE,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/2dbb8b60-d77b-409e-9ebd-da89b493b374/2dbb8b60-d77b-409e-9ebd-da89b493b374.xml,,
73309-220-01,Betadex Sulfobutyl Ether Sodium,BETADEX SULFOBUTYL ETHER SODIUM,SULFOBUTYLETHER .BETA.-CYCLODEXTRIN,"BLUEBAY SHANDONG CO.,LTD",BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/d5c298de-31f1-42c9-8cba-7c67b7d2b307/d5c298de-31f1-42c9-8cba-7c67b7d2b307.xml,,
58597-7011-9,Cyclosporin A,CYCLOSPORIN A,CYCLOSPORINE,AMERICAN PHARMACEUTICAL INGREDIENTS LLC,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/63bb70eb-785d-4ff0-8399-d24e1b8dd7d6/63bb70eb-785d-4ff0-8399-d24e1b8dd7d6.xml,,
72969-074-10,TRILOSTANE,TRILOSTANE,TRILOSTANE,PROFESSIONAL GROUP OF PHARMACISTS NEW YORK LLC,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/f8115464-0821-4e3b-98b6-5198c2b78046/f8115464-0821-4e3b-98b6-5198c2b78046.xml,,
73309-295-01,Epsilon Caprolactone,EPSILON CAPROLACTONE,CAPROLACTONE,"BLUEBAY SHANDONG CO.,LTD",BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/03292f82-b3f3-48de-a22c-cbce584c269d/03292f82-b3f3-48de-a22c-cbce584c269d.xml,,
58597-8219-7,Detomidine Hydrochloride,DETOMIDINE HYDROCHLORIDE,DETOMIDINE HYDROCHLORIDE,AMERICAN PHARMACEUTICAL INGREDIENTS LLC,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/84a6e755-b875-46e1-b849-8bf5b3341d32/84a6e755-b875-46e1-b849-8bf5b3341d32.xml,,
58597-8219-3,Detomidine Hydrochloride,DETOMIDINE HYDROCHLORIDE,DETOMIDINE HYDROCHLORIDE,AMERICAN PHARMACEUTICAL INGREDIENTS LLC,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/84a6e755-b875-46e1-b849-8bf5b3341d32/84a6e755-b875-46e1-b849-8bf5b3341d32.xml,,
73309-080-02,Medetomidine HCL,MEDETOMIDINE HCL,MEDETOMIDINE HYDROCHLORIDE,"BLUEBAY SHANDONG CO.,LTD",BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/5462b258-f34f-409a-bb3f-d2dda2c94d46/5462b258-f34f-409a-bb3f-d2dda2c94d46.xml,,
73309-039-01,Vidarabine,VIDARABINE,VIDARABINE,"Bluebay Shandong Co, LTD.",BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/12277b46-969a-4153-be83-5331ae47ab6b/12277b46-969a-4153-be83-5331ae47ab6b.xml,,
62157-500-01,AX Pharmaceutical Corp,METAMIZOLE SODIUM,METAMIZOLE SODIUM,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/2fa062fa-eb74-4621-a085-473616743499/2fa062fa-eb74-4621-a085-473616743499.xml,,
73309-102-03,Propantheline Bromide,PROPANTHELINE BROMIDE,PROPANTHELINE BROMIDE,"BLUEBAY SHANDONG CO.,LTD",BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/2a1d17a8-cb0b-4dd4-a8af-305e4aeb0d83/2a1d17a8-cb0b-4dd4-a8af-305e4aeb0d83.xml,,
62157-401-01,X,TRILOSTANE,TRILOSTANE,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/26cbf925-3792-4d53-852f-6b1dabd0fe9a/26cbf925-3792-4d53-852f-6b1dabd0fe9a.xml,,
49452-5072-3,Pimobendan,PIMOBENDAN,PIMOBENDAN,"Spectrum Laboratory Products, Inc.",BULK INGREDIENT,BULK INGREDIENT FOR ANIMAL DRUG COMPOUNDING,,https://www.accessdata.fda.gov/spl/data/b9d4bcff-41a9-0a91-e053-2a95a90a2158/b9d4bcff-41a9-0a91-e053-2a95a90a2158.xml,,
58597-7003-8,Amikacin Sulfate,AMIKACIN SULFATE,AMIKACIN SULFATE,AMERICAN PHARMACEUTICAL INGREDIENTS LLC,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/45331abf-1316-4622-8a4b-c865f8ca3fc1/45331abf-1316-4622-8a4b-c865f8ca3fc1.xml,,
73309-031-02,Temozolomide,TEMOZOLOMIDE,TEMOZOLOMIDE,"BLUEBAY SHANDONG CO.,LTD",BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/990abc7b-a355-4ac9-acc1-915781766f9a/990abc7b-a355-4ac9-acc1-915781766f9a.xml,,
73377-017-02,Mycophenolate Mofetil,MYCOPHENOLATE MOFETIL,MYCOPHENOLATE MOFETIL,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/60a02bc7-e235-4069-a176-39dfb6c2c2f7/60a02bc7-e235-4069-a176-39dfb6c2c2f7.xml,,
72969-065-10,RONIDAZOLE,RONIDAZOLE,RONIDAZOLE,PROFESSIONAL GROUP OF PHARMACISTS NEW YORK LLC,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/5bbeb618-7b3b-4112-b164-75a98b8d751d/5bbeb618-7b3b-4112-b164-75a98b8d751d.xml,,
62157-248-01,X,CHOLECALCIFEROL,CHOLECALCIFEROL,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/49f77d50-279b-4890-bc0f-e4b36f2d0ec0/49f77d50-279b-4890-bc0f-e4b36f2d0ec0.xml,,
62157-481-01,AX Pharmaceutical Corp,CHLORAMPHENICOL,CHLORAMPHENICOL,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/82162e3f-233a-4ce1-98a0-a9f5db8108bc/82162e3f-233a-4ce1-98a0-a9f5db8108bc.xml,,
73309-121-01,Cefadroxil Monohydrate,CEFADROXIL MONOHYDRATE,CEFADROXIL,"BLUEBAY SHANDONG CO.,LTD",BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/48e89a37-be02-4c1e-a2f4-3e485435139e/48e89a37-be02-4c1e-a2f4-3e485435139e.xml,,
62157-773-01,Methazolamide,METHAZOLAMIDE,METHAZOLAMIDE,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/9fd9bd82-82a2-4e7e-85b3-03fae0b0cf91/9fd9bd82-82a2-4e7e-85b3-03fae0b0cf91.xml,,
73377-103-01,Iron sucrose,IRON SUCROSE,IRON SUCROSE,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/3fb403b8-f9ce-4ea3-a73e-661a677086cf/3fb403b8-f9ce-4ea3-a73e-661a677086cf.xml,,
73309-011-01,Tolazoline HCl,TOLAZOLINE HCL,TOLAZOLINE HYDROCHLORIDE,"BLUEBAY SHANDONG CO.,LTD",BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/6c4794f3-6996-4742-a2be-e601f9d3c29c/6c4794f3-6996-4742-a2be-e601f9d3c29c.xml,,
62157-420-01,X,KANAMYCIN SULFATE,KANAMYCIN SULFATES,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/4e2a8353-4bef-445c-b10b-2f9c897870ba/4e2a8353-4bef-445c-b10b-2f9c897870ba.xml,,
62157-508-01,AX Pharmaceutical Corp,BUTAPHOSPHAN,BUTAFOSFAN,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/8fed1a7b-b73b-4583-bd65-fe7662fbf230/8fed1a7b-b73b-4583-bd65-fe7662fbf230.xml,,
58597-8493-8,Ronidazole,RONIDAZOLE,RONIDAZOLE,AMERICAN PHARMACEUTICAL INGREDIENTS LLC,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/6288bee4-ab25-478b-8c23-d2f3f443a38b/6288bee4-ab25-478b-8c23-d2f3f443a38b.xml,,
73377-032-01,Ponazuril,PONAZURIL,PONAZURIL,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/5ca53b4a-881c-4780-8f89-59ef91bfc684/5ca53b4a-881c-4780-8f89-59ef91bfc684.xml,,
73309-163-01,Protirelin Acetate,PROTIRELIN ACETATE,PROTIRELIN,"BLUEBAY SHANDONG CO.,LTD",BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/456b03d2-98e5-4146-935f-a75a706876ce/456b03d2-98e5-4146-935f-a75a706876ce.xml,,
62157-150-01,X,GENTAMICIN SULFATE,GENTAMICIN SULFATE,AX Pharmaceutical Corp,BULK INGREDIENT,BULK INGREDIENT FOR ANIMAL DRUG COMPOUNDING,,https://www.accessdata.fda.gov/spl/data/6dcdcbea-d2f2-46a2-92ca-652686871db8/6dcdcbea-d2f2-46a2-92ca-652686871db8.xml,,
73309-179-01,Cephalexin monohydrate,CEPHALEXIN MONOHYDRATE,CEPHALEXIN,"BLUEBAY SHANDONG CO.,LTD",BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/6fafdf3e-868f-4f7a-a9e1-54afc8b20a9a/6fafdf3e-868f-4f7a-a9e1-54afc8b20a9a.xml,,
62157-727-01,"Pimobendan,USP","PIMOBENDAN,USP",PIMOBENDAN,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/89fcfc2a-9737-4dd9-845d-0f524a7ba88c/89fcfc2a-9737-4dd9-845d-0f524a7ba88c.xml,,
73309-136-04,Tiopronin Base,TIOPRONIN BASE,TIOPRONIN,"BLUEBAY SHANDONG CO.,LTD",BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/d17488d4-cf01-4e6d-9b31-45a8a1fb8e98/d17488d4-cf01-4e6d-9b31-45a8a1fb8e98.xml,,
62157-414-01,X,PREDNISOLONE,PREDNISOLONE,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/49cdc6dc-e3a9-441d-b804-697d1ef2a2ed/49cdc6dc-e3a9-441d-b804-697d1ef2a2ed.xml,,
58597-8242-7,METAMIZOLE SODIUM,METAMIZOLE SODIUM,METAMIZOLE SODIUM,AMERICAN PHARMACEUTICAL INGREDIENTS LLC,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/ce668830-a028-4a6a-b1f3-57ce5afa522f/ce668830-a028-4a6a-b1f3-57ce5afa522f.xml,,
58597-8568-8,TULATHROMYCIN,TULATHROMYCIN,TULATHROMYCIN,AMERICAN PHARMACEUTICAL INGREDIENTS LLC,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/9baee8ed-65aa-48f9-8d70-3a4e96ff0fd6/9baee8ed-65aa-48f9-8d70-3a4e96ff0fd6.xml,,
58597-8109-8,ALTRENOGEST,ALTRENOGEST,ALTRENOGEST,AMERICAN PHARMACEUTICAL INGREDIENTS LLC,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/5e60ec20-5595-4a6f-9f0e-6eff94b14d9a/5e60ec20-5595-4a6f-9f0e-6eff94b14d9a.xml,,
73309-025-01,Cefpodoxime Proxetil,CEFPODOXIME PROXETIL,CEFPODOXIME PROXETIL,"BLUEBAY SHANDONG CO.,LTD",BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/3ec8f090-9de0-491e-af32-851f68290007/3ec8f090-9de0-491e-af32-851f68290007.xml,,
73309-075-03,Leflunomide,LEFLUNOMIDE,LEFLUNOMIDE,"BLUEBAY SHANDONG CO.,LTD",BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/ac13d057-0950-45df-977e-3e4b3ff78eb4/ac13d057-0950-45df-977e-3e4b3ff78eb4.xml,,
62157-544-01,AX Pharmaceutical Corp,SILDENAFIL CITRATE,SILDENAFIL CITRATE,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/49f42649-2287-4557-905a-a8c9ab250eb9/49f42649-2287-4557-905a-a8c9ab250eb9.xml,,
73309-316-02,Adenosine 5monophosphate,ADENOSINE 5MONOPHOSPHATE,ADENOSINE PHOSPHATE,"BLUEBAY SHANDONG CO.,LTD",BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/38da7005-f022-4186-8833-1ea2c6793c67/38da7005-f022-4186-8833-1ea2c6793c67.xml,,
62157-924-01,Telmisartan,TELMISARTAN,TELMISARTAN,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/34dff760-eac1-40d4-b634-5eb32b16c380/34dff760-eac1-40d4-b634-5eb32b16c380.xml,,
73377-091-01,Chloramphenicol Palmitate,CHLORAMPHENICOL PALMITATE,CHLORAMPHENICOL PALMITATE,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/b85d379a-202e-4208-aae5-04e3ea8f1d9b/b85d379a-202e-4208-aae5-04e3ea8f1d9b.xml,,
62157-701-01,AX Pharmaceutical Corp,PREGABALIN,PREGABALIN,AX Pharmaceutical Corp,BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/46ec3cd6-f82c-46e0-af70-716fd74965fd/46ec3cd6-f82c-46e0-af70-716fd74965fd.xml,,
73309-342-02,Isotretinoin,ISOTRETINOIN,ISOTRETINOIN,"BLUEBAY SHANDONG CO.,LTD",BULK INGREDIENT,bulk ingredient for animal drug compounding,,https://www.accessdata.fda.gov/spl/data/85b197a0-cafd-4b68-ba02-79d9dd6d2894/85b197a0-cafd-4b68-ba02-79d9dd6d2894.xml,,
