NDC,Proprietary Name,Non Proprietary Name,Ingredient List,Labeler Name,Product Type,Marketing Category,Application Number or Monograph ID,Link,Inactivation Date,Reactivation Date
23243-2825-2,VACASAN 25,TULATHROMYCIN,TULATHROMYCIN,"Huvepharma, Inc.",PRESCRIPTION ANIMAL DRUG,ANADA,ANADA200745,https://www.accessdata.fda.gov/spl/data/59c491c7-986f-436f-95bc-fe0de0121668/59c491c7-986f-436f-95bc-fe0de0121668.xml,,
23243-2825-1,VACASAN 25,TULATHROMYCIN,TULATHROMYCIN,"Huvepharma, Inc.",PRESCRIPTION ANIMAL DRUG,ANADA,ANADA200745,https://www.accessdata.fda.gov/spl/data/59c491c7-986f-436f-95bc-fe0de0121668/59c491c7-986f-436f-95bc-fe0de0121668.xml,,
86147-022-01,VACCINE DETOX,"ECHINACEA, UNSPECIFIED, GELSEMIUM SEMPERVIRENS ROOT, THUJA OCCIDENTALIS LEAFY TWIG, SOLIDAGO VIRGAUREA FLOWERING TOP, SILICON DIOXIDE, ALUMINUM",THUJA OCCIDENTALIS LEAFY TWIG; ECHINACEA; GELSEMIUM SEMPERVIRENS ROOT; SILICON DIOXIDE; ALUMINUM; SOLIDAGO VIRGAUREA FLOWERING TOP,Groupe Cyrenne Inc.,OTC ANIMAL DRUG,unapproved homeopathic,,https://www.accessdata.fda.gov/spl/data/0e72d9de-5218-4f00-9954-f42881854e3e/0e72d9de-5218-4f00-9954-f42881854e3e.xml,,
54771-8783-2,Valbazen,ALBENDAZOLE,ALBENDAZOLE,Zoetis Inc.,OTC ANIMAL DRUG,NADA,NADA110048,https://www.accessdata.fda.gov/spl/data/e8fbf60f-563b-4786-9ac9-8182acbe08cd/e8fbf60f-563b-4786-9ac9-8182acbe08cd.xml,,
54771-8783-3,Valbazen,ALBENDAZOLE,ALBENDAZOLE,Zoetis Inc.,OTC ANIMAL DRUG,NADA,NADA110048,https://www.accessdata.fda.gov/spl/data/e8fbf60f-563b-4786-9ac9-8182acbe08cd/e8fbf60f-563b-4786-9ac9-8182acbe08cd.xml,,
54771-8783-1,Valbazen,ALBENDAZOLE,ALBENDAZOLE,Zoetis Inc.,OTC ANIMAL DRUG,NADA,NADA110048,https://www.accessdata.fda.gov/spl/data/e8fbf60f-563b-4786-9ac9-8182acbe08cd/e8fbf60f-563b-4786-9ac9-8182acbe08cd.xml,,
54771-1685-1,Valcor,DORAMECTIN AND LEVAMISOLE,LEVAMISOLE HYDROCHLORIDE; DORAMECTIN,Zoetis Inc.,PRESCRIPTION ANIMAL DRUG,NADA,NADA141553,https://www.accessdata.fda.gov/spl/data/34bad85a-2ee1-4e68-978f-93279d652e41/34bad85a-2ee1-4e68-978f-93279d652e41.xml,,
54771-1685-3,Valcor,DORAMECTIN AND LEVAMISOLE,LEVAMISOLE HYDROCHLORIDE; DORAMECTIN,Zoetis Inc.,PRESCRIPTION ANIMAL DRUG,NADA,NADA141553,https://www.accessdata.fda.gov/spl/data/34bad85a-2ee1-4e68-978f-93279d652e41/34bad85a-2ee1-4e68-978f-93279d652e41.xml,,
54771-1685-2,Valcor,DORAMECTIN AND LEVAMISOLE,LEVAMISOLE HYDROCHLORIDE; DORAMECTIN,Zoetis Inc.,PRESCRIPTION ANIMAL DRUG,NADA,NADA141553,https://www.accessdata.fda.gov/spl/data/34bad85a-2ee1-4e68-978f-93279d652e41/34bad85a-2ee1-4e68-978f-93279d652e41.xml,,
59282-113-16,VALIANT,LACTIC ACID AND LINEAR DODECYL BENZENE SULFONIC ACID,LACTIC ACID; DODECYLBENZENESULFONIC ACID,ABS Global Inc.,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/c70672b8-e2fa-4569-9a90-d8308e29f82a/c70672b8-e2fa-4569-9a90-d8308e29f82a.xml,,
59282-103-17,Valiant Express,LACTIC ACID AND DODECYL BENZENE SULFONIC ACID,LACTIC ACID; DODECYLBENZENESULFONIC ACID,ABS Global Inc.,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/fb533ab6-bdf0-4fb4-b62b-1ca35183f69b/fb533ab6-bdf0-4fb4-b62b-1ca35183f69b.xml,,
59282-103-21,Valiant Express,LACTIC ACID AND DODECYL BENZENE SULFONIC ACID,LACTIC ACID; DODECYLBENZENESULFONIC ACID,ABS Global Inc.,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/fb533ab6-bdf0-4fb4-b62b-1ca35183f69b/fb533ab6-bdf0-4fb4-b62b-1ca35183f69b.xml,,
59282-103-44,Valiant Express,LACTIC ACID AND DODECYL BENZENE SULFONIC ACID,LACTIC ACID; DODECYLBENZENESULFONIC ACID,ABS Global Inc.,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/fb533ab6-bdf0-4fb4-b62b-1ca35183f69b/fb533ab6-bdf0-4fb4-b62b-1ca35183f69b.xml,,
59282-109-21,Valiant Express Blue,LACTIC ACID AND DODECYL BENZENE SULFONIC ACID,DODECYLBENZENESULFONIC ACID; LACTIC ACID,ABS Global Inc.,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/37cf8840-0ac0-46dd-9f5c-af96f5a72006/37cf8840-0ac0-46dd-9f5c-af96f5a72006.xml,,
59282-109-44,Valiant Express Blue,LACTIC ACID AND DODECYL BENZENE SULFONIC ACID,DODECYLBENZENESULFONIC ACID; LACTIC ACID,ABS Global Inc.,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/37cf8840-0ac0-46dd-9f5c-af96f5a72006/37cf8840-0ac0-46dd-9f5c-af96f5a72006.xml,,
59282-109-17,Valiant Express Blue,LACTIC ACID AND DODECYL BENZENE SULFONIC ACID,DODECYLBENZENESULFONIC ACID; LACTIC ACID,ABS Global Inc.,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/37cf8840-0ac0-46dd-9f5c-af96f5a72006/37cf8840-0ac0-46dd-9f5c-af96f5a72006.xml,,
59282-114-17,Valiant Express Prime,LACTIC ACID,LACTIC ACID,ABS Global,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/83930400-720c-467b-8817-36ca274a0964/83930400-720c-467b-8817-36ca274a0964.xml,,
59282-114-16,Valiant Express Prime,LACTIC ACID,LACTIC ACID,ABS Global,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/83930400-720c-467b-8817-36ca274a0964/83930400-720c-467b-8817-36ca274a0964.xml,,
59282-114-21,Valiant Express Prime,LACTIC ACID,LACTIC ACID,ABS Global,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/83930400-720c-467b-8817-36ca274a0964/83930400-720c-467b-8817-36ca274a0964.xml,,
59282-114-44,Valiant Express Prime,LACTIC ACID,LACTIC ACID,ABS Global,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/83930400-720c-467b-8817-36ca274a0964/83930400-720c-467b-8817-36ca274a0964.xml,,
59282-101-44,Valiant Pre,LACTIC ACID AND LINEAR DODECYL BENZENE SULFONIC ACID,LACTIC ACID; DODECYLBENZENESULFONIC ACID,ABS Global Inc.,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/3cf33bc4-45f5-4333-87ad-6fe76ecce13c/3cf33bc4-45f5-4333-87ad-6fe76ecce13c.xml,,
59282-101-17,Valiant Pre,LACTIC ACID AND LINEAR DODECYL BENZENE SULFONIC ACID,LACTIC ACID; DODECYLBENZENESULFONIC ACID,ABS Global Inc.,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/3cf33bc4-45f5-4333-87ad-6fe76ecce13c/3cf33bc4-45f5-4333-87ad-6fe76ecce13c.xml,,
59282-101-21,Valiant Pre,LACTIC ACID AND LINEAR DODECYL BENZENE SULFONIC ACID,LACTIC ACID; DODECYLBENZENESULFONIC ACID,ABS Global Inc.,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/3cf33bc4-45f5-4333-87ad-6fe76ecce13c/3cf33bc4-45f5-4333-87ad-6fe76ecce13c.xml,,
59282-101-16,Valiant Pre,LACTIC ACID AND LINEAR DODECYL BENZENE SULFONIC ACID,LACTIC ACID; DODECYLBENZENESULFONIC ACID,ABS Global Inc.,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/3cf33bc4-45f5-4333-87ad-6fe76ecce13c/3cf33bc4-45f5-4333-87ad-6fe76ecce13c.xml,,
59282-102-21,Valiant Pre/Post,LACTIC ACID AND DODECYLBENZENE SULFONIC ACID,"LACTIC ACID, UNSPECIFIED FORM; DODECYLBENZENESULFONIC ACID",ABS Global Inc.,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/eda36780-f48a-4a24-b8a8-8f9627be7667/eda36780-f48a-4a24-b8a8-8f9627be7667.xml,,
